DATE;Mapped_GCK;Sales_EUR
14.03.2019;#16;0
26.03.2019;#6;0
20.03.2019;#6;0
11.03.2019;#6;0
29.03.2019;#4;122746,56
12.03.2019;#4;0
07.03.2019;#4;0
15.03.2019;#5;155285,1
14.03.2019;#5;0
19.03.2019;#3;0
15.03.2019;#3;2138310,8
14.03.2019;#3;0
27.03.2019;#3;2314635,21
04.11.2019;#1;0
05.11.2019;#1;0
06.11.2019;#1;0
07.11.2019;#1;0
08.11.2019;#1;597282,88
22.03.2019;#9;2375,33
29.03.2019;#13;877
05.03.2019;#12;0
20.03.2019;#9;0
11.03.2019;#13;0
08.03.2019;#8;83209,56
28.05.2019;#6;243442,07
09.11.2019;#1;0
11.11.2019;#1;0
22.08.2019;#13;0
12.11.2019;#1;0
26.08.2019;#9;0
26.08.2019;#13;0
15.08.2019;#20;0
28.08.2019;#9;2371,5
19.08.2019;#8;0
13.11.2019;#1;0
14.11.2019;#1;-41905,71
15.11.2019;#1;1190183,9
16.11.2019;#1;0
17.11.2019;#1;0
18.11.2019;#1;-769
19.11.2019;#1;0
20.11.2019;#1;0
21.11.2019;#1;0
22.11.2019;#1;1208234,41
23.11.2019;#1;0
25.11.2019;#1;0
26.11.2019;#1;0
27.11.2019;#1;963337,98
28.11.2019;#1;0
29.11.2019;#1;615331,68
30.11.2019;#1;0
02.12.2019;#1;34681586,52
03.12.2019;#1;-105537,32
04.12.2019;#1;-22520,4
05.12.2019;#1;0
25.04.2022;#16;624,51
06.12.2019;#1;7,11E-15
11.04.2022;#11;0
22.04.2022;#11;0
27.04.2022;#16;506,5
07.04.2022;#6;0
25.04.2022;#4;0
07.04.2022;#5;0
15.04.2022;#3;1482994,08
04.01.2022;#5;-104672,3
07.12.2019;#1;0
08.12.2021;#6;0
03.12.2021;#14;0
05.01.2022;#12;0
09.12.2019;#1;0
10.12.2019;#1;0
11.12.2019;#1;0
29.04.2022;#5;744879,61
20.04.2022;#5;0
06.04.2022;#11;0
19.04.2022;#6;0
28.04.2022;#6;0
30.04.2022;#4;0
05.04.2022;#5;0
21.04.2022;#5;0
11.04.2022;#3;0
25.04.2022;#3;0
04.04.2022;#3;-94322,29
21.04.2022;#3;0
07.04.2022;#3;0
01.12.2021;#3;7275
30.12.2021;#3;101144,32
21.12.2021;#5;0
13.12.2021;#5;0
17.12.2021;#6;162966,55
28.12.2021;#8;426493,59
20.12.2021;#12;0
28.12.2021;#12;11350
12.12.2019;#1;-17800
12.04.2022;#11;0
29.04.2022;#6;299306,35
07.12.2021;#14;0
08.04.2022;#8;167493,11
28.03.2022;#16;0
29.03.2022;#16;0
29.03.2022;#9;0
11.03.2022;#11;0
21.03.2022;#11;0
11.03.2022;#6;96041,37
08.03.2022;#6;0
28.03.2022;#6;0
22.03.2022;#6;0
14.03.2022;#4;0
15.03.2022;#5;0
04.03.2022;#5;0
01.03.2022;#5;3750
10.03.2022;#5;0
21.03.2022;#3;0
11.03.2022;#3;2846498,19
30.03.2022;#3;0
01.03.2022;#13;0
02.03.2022;#13;0
29.03.2022;#12;72190
10.03.2022;#20;0
31.03.2022;#9;0
25.03.2022;#8;0
07.03.2022;#8;0
04.04.2022;#12;0
13.12.2019;#1;1530426,34
14.12.2019;#1;0
16.12.2019;#1;0
23.03.2022;#12;0
17.12.2019;#1;0
31.05.2021;#16;250
26.05.2021;#16;-540
21.05.2021;#16;9074,68
05.05.2021;#36;0
24.05.2021;#36;3359,65
26.05.2021;#11;0
20.05.2021;#11;0
02.06.2021;#11;0
21.05.2021;#6;96805,04
28.05.2021;#6;0
18.05.2021;#4;0
26.05.2021;#4;0
05.05.2021;#4;0
04.06.2021;#4;48,71
18.12.2019;#1;539859,57
18.05.2021;#12;0
20.05.2021;#9;0
19.12.2019;#1;0
13.05.2021;#13;0
19.05.2021;#13;0
11.05.2021;#14;0
01.06.2021;#9;48,96
13.05.2021;#9;3800
21.05.2021;#8;186046,94
31.05.2021;#8;289009,27
01.06.2021;#8;0
04.05.2021;#20;0
19.05.2021;#4;0
04.12.2021;#11;0
13.12.2021;#11;0
29.12.2021;#11;0
21.12.2021;#16;0
17.12.2021;#16;56534,5
08.12.2021;#4;0
01.12.2021;#4;0
19.07.2021;#16;0
05.07.2021;#16;0
02.07.2021;#16;0
06.04.2021;#11;42514
29.04.2021;#11;0
22.04.2021;#11;0
30.04.2021;#3;2602901,02
15.04.2021;#6;0
08.04.2021;#6;0
20.04.2021;#4;0
26.04.2021;#4;0
12.04.2021;#5;0
19.04.2021;#5;0
13.04.2021;#3;0
28.04.2021;#12;164832,88
27.04.2021;#36;0
20.12.2019;#1;-13757,38
21.12.2019;#1;0
22.12.2019;#1;0
26.04.2021;#9;0
29.04.2021;#12;0
04.03.2021;#16;0
19.03.2021;#16;0
30.03.2021;#16;32420
05.03.2021;#16;0
22.03.2021;#16;0
12.03.2021;#5;199632,05
20.03.2021;#11;0
19.03.2021;#11;0
23.12.2019;#1;1109252,04
24.12.2019;#1;0
25.12.2019;#1;0
26.12.2019;#1;0
27.12.2019;#1;0
02.02.2022;#12;0
18.02.2022;#5;292979,99
11.02.2022;#16;43563,28
09.02.2022;#6;0
10.02.2022;#6;0
18.02.2022;#4;76434,35
02.02.2022;#4;-99,36
10.02.2022;#4;0
23.02.2022;#5;0
01.02.2022;#3;76095,6
06.02.2022;#3;0
21.02.2022;#8;139886,15
11.02.2022;#8;255515,07
17.02.2022;#13;0
09.02.2022;#13;0
28.02.2022;#8;243161,16
24.02.2022;#12;40200,78
15.02.2022;#12;0
28.12.2019;#1;0
30.12.2019;#1;0
31.12.2019;#1;0
25.08.2021;#16;0
31.08.2021;#16;0
06.08.2021;#16;35600
19.08.2021;#16;0
30.07.2021;#16;17884
20.08.2021;#11;1968922,2
31.08.2021;#11;0
30.08.2021;#4;0
02.09.2021;#4;0
12.08.2021;#4;0
16.08.2021;#4;0
23.08.2021;#4;0
25.08.2021;#5;0
04.08.2021;#3;0
24.08.2021;#8;47207,95
01.01.2020;#1;0
02.01.2020;#1;31351729,07
03.08.2021;#12;0
11.08.2021;#12;0
01.09.2021;#12;2849,75
02.09.2021;#9;0
04.08.2021;#9;0
27.08.2021;#9;432
03.08.2021;#8;0
26.08.2021;#8;0
12.08.2021;#8;0
07.02.2022;#16;0
22.02.2022;#16;0
14.02.2022;#16;0
03.01.2020;#1;-107082,28
04.01.2020;#1;0
06.01.2020;#1;0
07.01.2020;#1;-22520,4
26.04.2022;#14;0
08.04.2022;#14;2495
11.04.2022;#9;0
12.04.2022;#8;0
22.04.2022;#12;63625
15.04.2022;#12;23190
08.04.2022;#12;12540
01.02.2022;#11;0
13.01.2022;#11;0
14.01.2022;#16;778,4
19.01.2022;#6;0
10.01.2022;#6;0
19.01.2022;#4;0
12.01.2022;#4;0
10.01.2022;#4;0
18.01.2022;#5;0
07.01.2022;#3;0
06.01.2022;#3;0
08.01.2020;#1;0
24.01.2022;#12;8315,43
14.01.2022;#13;15472,91
21.01.2022;#9;0
31.01.2022;#4;62203,92
09.03.2021;#11;0
17.03.2021;#11;0
15.03.2021;#11;0
31.03.2021;#3;1807679,93
12.03.2021;#6;213179,07
25.03.2021;#4;174297,69
03.03.2021;#4;0
02.03.2021;#4;0
24.03.2021;#5;0
09.03.2021;#5;0
17.03.2021;#3;0
05.03.2021;#3;0
09.01.2020;#1;0
10.01.2020;#1;22520,4
11.01.2020;#1;0
12.01.2020;#1;0
11.06.2021;#16;18164,56
21.06.2021;#16;0
07.06.2021;#16;0
10.06.2021;#16;14711,6
24.06.2021;#5;0
03.06.2021;#11;0
26.06.2021;#11;0
08.06.2021;#16;0
24.06.2021;#6;0
07.06.2021;#6;0
10.06.2021;#6;0
14.06.2021;#6;0
11.06.2021;#4;131235,91
14.06.2021;#4;119,6
25.06.2021;#4;0
18.06.2021;#3;2746712,98
25.06.2021;#5;0
16.06.2021;#5;0
04.06.2021;#3;0
13.06.2021;#3;0
15.06.2021;#9;0
13.01.2020;#1;0
14.01.2020;#1;0
15.01.2020;#1;0
16.01.2020;#1;0
17.01.2020;#1;366884,54
18.01.2020;#1;0
01.07.2021;#12;1914,6
15.06.2021;#12;0
24.06.2021;#12;0
12.06.2021;#12;0
04.06.2021;#9;0
22.06.2021;#12;0
03.06.2021;#8;0
29.06.2021;#8;0
25.06.2021;#8;0
24.06.2021;#8;0
17.06.2021;#6;0
08.06.2021;#8;0
20.01.2020;#1;0
21.01.2020;#1;0
22.01.2020;#1;0
23.01.2020;#1;1495836,79
24.01.2020;#1;0
26.01.2020;#1;5622,96
27.01.2020;#1;89959,63
29.09.2021;#16;4610
10.09.2021;#16;0
04.10.2021;#5;-25159,12
22.09.2021;#36;0
13.09.2021;#36;2134,2
21.09.2021;#11;0
08.09.2021;#11;0
29.09.2021;#6;0
13.09.2021;#6;23923,72
04.10.2021;#4;-924,06
30.09.2021;#4;79364,97
16.09.2021;#4;0
27.09.2021;#4;0
09.09.2021;#4;0
15.09.2021;#5;0
06.10.2021;#5;-55400,08
28.01.2020;#1;0
29.09.2021;#3;0
24.09.2021;#3;0
23.09.2021;#8;532963,86
29.01.2020;#1;0
30.01.2020;#1;0
31.01.2020;#1;913700,76
27.09.2021;#9;0
01.02.2020;#1;0
30.04.2021;#13;4000
29.04.2021;#8;0
09.04.2021;#8;0
01.04.2020;#16;0
19.03.2020;#16;0
02.03.2020;#11;0
11.03.2020;#11;0
27.03.2020;#3;3020078,89
20.03.2020;#6;14312,67
10.03.2020;#6;0
17.03.2020;#6;0
04.03.2020;#4;0
27.03.2020;#4;41248,9
24.03.2020;#4;10275,22
23.03.2020;#4;0
19.03.2020;#4;0
20.03.2020;#5;486021,5
01.03.2020;#5;0
16.03.2020;#5;0
05.03.2020;#3;0
03.02.2020;#1;30568295,8
03.03.2020;#11;0
21.02.2020;#11;1223229,73
03.02.2020;#11;0
25.02.2020;#6;0
10.02.2020;#6;0
27.02.2020;#5;0
07.02.2020;#5;0
06.02.2020;#3;0
10.02.2020;#3;0
17.02.2020;#20;0
04.02.2020;#1;-35159,42
05.02.2020;#1;-540,63
21.02.2020;#13;3248,46
13.02.2020;#13;0
17.02.2020;#9;0
10.02.2020;#8;0
28.02.2020;#8;46453,32
26.02.2020;#8;73393,56
27.02.2020;#36;0
04.04.2019;#16;0
26.04.2019;#5;1448191,53
18.04.2019;#11;0
29.04.2019;#11;0
12.04.2019;#36;2333,6
25.04.2019;#5;0
23.04.2019;#11;1850
11.04.2019;#11;0
03.04.2019;#6;0
25.04.2019;#4;0
26.04.2019;#4;97444,65
17.04.2019;#4;0
18.04.2019;#5;0
09.04.2019;#5;0
26.04.2019;#3;2467445,5
28.04.2019;#5;0
15.04.2019;#3;0
12.04.2019;#3;3442150,59
06.02.2020;#1;-22520,4
07.02.2020;#1;0
08.02.2020;#1;0
15.04.2019;#12;0
10.02.2020;#1;0
17.04.2019;#13;0
04.05.2019;#20;0
23.04.2019;#9;1748,61
23.04.2019;#13;1256,85
16.04.2019;#8;0
09.04.2019;#8;0
17.04.2019;#8;0
03.04.2019;#8;0
24.10.2018;#16;43279,23
08.10.2018;#16;0
05.11.2018;#5;0
05.10.2018;#11;0
27.05.2019;#11;0
15.10.2018;#11;0
09.10.2018;#6;0
23.10.2018;#6;0
05.10.2018;#6;0
02.10.2018;#4;0
24.10.2018;#4;114982,5
10.10.2018;#4;0
15.10.2018;#4;0
23.10.2018;#4;0
23.10.2018;#3;0
12.10.2018;#5;0
25.10.2018;#3;0
22.10.2018;#3;0
04.10.2018;#3;0
09.10.2018;#3;0
11.02.2020;#1;0
22.02.2020;#16;0
18.02.2020;#8;0
18.04.2019;#16;0
16.04.2019;#16;-1362,1
23.04.2019;#6;40087,72
27.10.2018;#16;0
27.01.2022;#8;342018,42
19.01.2022;#8;0
03.01.2022;#36;0
07.01.2022;#8;0
29.01.2022;#12;0
14.01.2022;#12;5400
12.02.2020;#1;0
07.10.2021;#16;0
02.11.2021;#16;0
13.02.2020;#1;0
14.02.2020;#1;1085723,21
15.02.2020;#1;0
17.02.2020;#1;0
02.11.2021;#5;0
19.10.2021;#5;0
19.10.2021;#11;0
01.10.2021;#4;0
21.10.2021;#4;0
31.10.2021;#4;0
12.10.2021;#3;0
28.10.2021;#5;0
07.10.2021;#5;0
25.10.2021;#5;0
30.11.2021;#5;1810402,32
05.10.2021;#5;0
02.11.2021;#14;0
18.10.2021;#9;0
26.10.2021;#9;0
18.10.2021;#14;0
26.10.2021;#20;0
19.10.2021;#20;0
26.10.2021;#14;0
02.11.2021;#20;0
20.10.2021;#8;0
18.10.2021;#8;0
12.10.2021;#8;0
30.11.2021;#8;392209,18
26.10.2021;#12;0
25.10.2021;#36;0
16.03.2021;#12;0
19.03.2021;#9;9500
18.02.2020;#1;0
24.03.2021;#12;0
29.03.2021;#9;0
04.03.2021;#13;0
31.03.2021;#8;181744,68
10.03.2021;#8;0
08.03.2021;#8;0
11.03.2021;#36;0
05.10.2020;#16;0
28.10.2020;#36;22012,49
19.10.2020;#36;0
09.10.2020;#36;0
19.10.2020;#11;0
08.10.2020;#11;0
07.12.2020;#11;0
06.10.2020;#11;-2
21.10.2020;#11;0
27.10.2020;#11;0
26.10.2020;#6;0
13.10.2020;#6;0
28.10.2020;#4;305813,67
06.10.2020;#4;-127,4
08.10.2020;#4;0
23.10.2020;#4;0
29.10.2020;#5;0
14.10.2020;#3;0
08.10.2020;#20;0
19.02.2020;#1;0
20.02.2020;#1;0
02.11.2020;#12;45097,66
21.02.2020;#1;999440,13
22.02.2020;#1;0
15.10.2020;#12;0
24.02.2020;#1;0
26.10.2020;#12;0
30.10.2020;#12;0
25.02.2020;#1;0
12.10.2020;#14;0
22.10.2020;#14;0
30.10.2020;#13;0
27.10.2020;#9;0
23.10.2020;#9;0
05.10.2020;#13;0
01.10.2020;#8;0
14.10.2020;#8;0
03.11.2020;#36;0
09.02.2021;#36;0
18.02.2021;#11;0
25.02.2021;#16;73350
25.02.2021;#5;0
24.02.2021;#3;3864770,01
19.02.2021;#6;2880,67
08.02.2021;#6;0
01.03.2021;#6;0
17.02.2021;#4;0
26.02.2021;#4;245686,44
16.02.2021;#4;0
22.02.2021;#4;0
10.02.2021;#4;0
01.02.2021;#3;6465279,36
06.02.2021;#5;0
17.02.2021;#5;0
16.02.2021;#5;0
18.02.2021;#3;0
23.02.2021;#3;-8962,98
15.02.2021;#20;0
03.02.2021;#9;0
02.02.2021;#9;0
26.02.2020;#1;516797,65
23.02.2021;#12;0
27.02.2020;#1;0
12.02.2021;#9;7470
16.02.2021;#9;0
15.02.2021;#13;0
17.02.2021;#12;0
01.02.2021;#8;562077,57
08.02.2021;#8;130
01.07.2019;#16;267
05.06.2019;#16;20580
12.06.2019;#16;41160
24.06.2019;#16;0
20.06.2019;#36;1131
03.06.2019;#36;0
10.06.2019;#36;-1779,81
05.06.2019;#11;0
07.06.2019;#11;0
11.06.2019;#16;0
21.06.2019;#5;2132,8
18.06.2019;#6;0
26.06.2019;#4;46896,4
27.06.2019;#4;0
13.06.2019;#4;0
17.06.2019;#5;0
19.06.2019;#5;0
18.06.2019;#5;0
18.06.2019;#3;0
07.06.2019;#3;0
01.07.2019;#3;0
13.06.2019;#3;0
20.06.2019;#20;471
19.02.2021;#3;1447292,25
28.02.2020;#1;393842,92
30.01.2020;#16;7192,2
14.01.2020;#16;86690,7
09.01.2020;#16;0
03.02.2020;#16;0
05.07.2019;#5;0
10.07.2019;#5;0
24.07.2019;#36;3950
03.07.2019;#36;0
25.07.2019;#5;0
09.07.2019;#11;0
25.07.2019;#11;0
31.07.2019;#6;653255,7
22.07.2019;#6;0
03.08.2019;#6;0
03.08.2019;#36;0
04.07.2019;#8;0
29.07.2019;#6;2181,2
08.07.2019;#4;0
03.08.2019;#4;0
22.07.2019;#3;0
26.07.2019;#3;0
01.08.2019;#3;0
29.02.2020;#1;0
01.03.2020;#1;0
02.03.2020;#1;34617370,35
03.03.2020;#1;-153809,78
04.03.2020;#1;0
05.03.2020;#1;0
06.03.2020;#1;0
07.03.2020;#1;0
09.03.2020;#1;0
31.07.2019;#13;34629,3
10.07.2019;#12;0
29.07.2019;#13;5040
18.07.2019;#14;0
24.07.2019;#14;1892,8
24.07.2019;#8;40475,77
25.07.2019;#12;0
03.07.2019;#12;0
15.07.2019;#8;0
09.12.2019;#16;12675
06.12.2019;#16;4225
18.12.2019;#5;4697830,69
05.12.2019;#11;0
04.12.2019;#11;0
12.12.2019;#4;0
12.12.2019;#5;-9793,09
19.12.2019;#4;0
23.12.2019;#3;2990003,79
11.12.2019;#3;0
02.01.2020;#3;103894,2
04.01.2020;#3;-202712,88
30.12.2019;#3;0
16.12.2019;#20;0
10.03.2020;#1;0
11.03.2020;#1;0
12.03.2020;#1;0
02.01.2020;#12;12781
13.03.2020;#1;1818833,05
05.12.2019;#14;0
12.12.2019;#8;0
04.12.2019;#36;0
02.12.2019;#8;-35,7
23.10.2019;#5;0
04.11.2019;#5;0
22.10.2019;#8;0
25.10.2019;#5;-7650
15.10.2019;#5;0
31.10.2019;#11;0
01.10.2019;#11;0
07.10.2019;#11;0
22.10.2019;#16;0
30.10.2019;#5;0
24.10.2019;#6;13259
18.10.2019;#6;0
29.10.2019;#4;63662,35
15.10.2019;#4;0
09.10.2019;#5;0
11.10.2019;#5;0
09.10.2019;#3;0
16.10.2019;#3;0
04.10.2019;#3;0
23.10.2019;#12;0
16.10.2019;#12;0
14.03.2020;#1;0
21.10.2019;#12;0
01.11.2019;#12;8351
02.10.2019;#6;0
18.07.2019;#5;0
16.07.2019;#4;0
29.10.2019;#6;58605,28
28.01.2022;#16;0
10.01.2022;#16;0
16.03.2020;#1;0
24.02.2020;#16;1207,06
17.03.2020;#1;0
18.03.2020;#1;0
19.03.2020;#1;0
20.03.2020;#1;1062907,92
21.03.2020;#1;0
22.11.2021;#12;0
12.11.2021;#5;1641414,58
15.11.2021;#8;0
08.11.2021;#16;0
30.11.2021;#6;1040
12.11.2021;#6;43461,98
30.11.2021;#4;8796,66
24.11.2021;#4;0
19.11.2021;#4;37156,97
25.11.2021;#3;0
10.11.2021;#3;0
23.11.2021;#13;1598,92
23.11.2021;#9;4261,08
24.11.2021;#14;0
24.11.2021;#20;0
24.11.2021;#13;0
10.11.2021;#12;0
24.11.2021;#8;0
17.11.2021;#8;-636,5
05.11.2021;#8;0
24.11.2021;#12;0
22.03.2020;#1;0
01.12.2020;#12;42458,79
23.03.2020;#1;0
02.12.2020;#13;0
18.12.2020;#8;444851,75
10.12.2020;#8;0
21.12.2020;#8;0
05.01.2021;#8;0
04.01.2021;#5;0
23.12.2020;#5;0
15.12.2020;#3;0
14.12.2020;#5;0
27.01.2021;#36;0
25.01.2021;#11;0
20.01.2021;#11;0
19.01.2021;#6;24896,47
22.01.2021;#6;0
05.01.2021;#4;-1266,64
26.01.2021;#4;0
07.01.2021;#4;0
20.01.2021;#4;0
27.01.2021;#3;0
28.01.2021;#5;0
07.01.2021;#3;0
26.01.2021;#9;0
24.03.2020;#1;1003245,47
19.01.2021;#20;0
19.01.2021;#9;625,5
25.03.2020;#1;0
26.03.2020;#1;0
27.03.2020;#1;333551,9
25.01.2021;#12;0
28.03.2020;#1;0
05.01.2021;#12;0
02.02.2021;#14;0
19.01.2021;#8;299396,97
30.01.2021;#8;0
06.01.2021;#36;0
14.01.2020;#36;0
17.01.2020;#20;129,56
22.01.2020;#11;0
17.01.2020;#11;28697
24.01.2020;#16;0
15.01.2020;#16;0
27.01.2020;#6;26721,77
20.01.2020;#6;0
16.01.2020;#4;0
03.02.2020;#4;0
29.01.2020;#5;0
09.01.2020;#5;0
15.01.2020;#5;0
17.01.2020;#13;6995,3
31.01.2020;#12;24761,34
29.03.2020;#1;0
23.01.2020;#9;0
23.01.2020;#20;145,35
09.01.2020;#13;0
31.01.2020;#36;766
22.01.2020;#20;0
14.01.2020;#8;0
16.01.2020;#6;0
05.06.2020;#16;0
24.06.2020;#11;0
12.06.2020;#16;0
03.06.2020;#5;0
29.06.2020;#6;0
30.06.2020;#6;-4067,63
11.06.2020;#6;13462
09.06.2020;#4;0
24.06.2020;#5;0
02.06.2020;#5;-36,96
06.06.2020;#5;0
16.06.2020;#3;0
02.06.2020;#3;-241,9
30.03.2020;#1;0
31.03.2020;#1;382331,97
24.06.2020;#12;0
05.06.2020;#12;0
04.06.2020;#12;0
15.06.2020;#12;0
08.06.2020;#12;0
23.06.2020;#9;0
24.06.2020;#13;0
24.06.2020;#8;0
08.06.2020;#36;0
11.09.2020;#5;33007,61
07.10.2020;#6;0
17.09.2020;#6;0
01.09.2020;#6;0
03.09.2020;#6;0
25.09.2020;#6;0
28.09.2020;#4;235177,91
15.09.2020;#4;0
17.09.2020;#5;0
17.09.2020;#3;0
24.09.2020;#3;0
17.09.2020;#8;0
08.09.2020;#9;0
01.04.2020;#1;34904139,16
02.04.2020;#1;-5967,41
08.09.2020;#12;0
16.12.2020;#12;0
16.01.2020;#14;0
24.06.2020;#16;0
03.04.2020;#1;16060,2
16.06.2020;#12;0
22.09.2020;#16;0
07.09.2020;#6;0
11.09.2020;#12;49659,8
23.09.2020;#13;2269,43
30.09.2020;#12;600
04.04.2020;#1;0
09.09.2020;#12;0
24.09.2020;#12;0
11.09.2020;#14;469,8
18.09.2020;#8;126248,05
05.09.2020;#8;0
24.09.2020;#36;0
15.11.2019;#5;589086,43
08.11.2019;#11;188960
25.11.2019;#11;0
28.11.2019;#5;0
22.11.2019;#6;14188,09
08.11.2019;#6;-36995
26.11.2019;#6;0
29.11.2019;#6;10858,5
20.11.2019;#6;0
07.11.2019;#4;0
22.11.2019;#4;116451,61
06.11.2019;#4;0
13.11.2019;#5;0
18.11.2019;#5;0
25.11.2019;#3;0
30.11.2019;#5;0
06.04.2020;#1;-4,77E-12
07.04.2020;#1;0
08.11.2019;#12;16400
13.11.2019;#12;0
20.11.2019;#14;0
11.11.2019;#8;0
04.11.2019;#36;0
05.11.2019;#8;0
02.01.2019;#16;0
14.12.2018;#16;19484
20.12.2018;#5;0
03.12.2018;#11;0
18.12.2018;#11;554000
19.12.2018;#11;0
14.12.2018;#6;18443,17
11.12.2018;#6;0
31.12.2018;#6;0
10.12.2018;#4;-151,71
12.12.2018;#4;0
14.12.2018;#4;91873,13
27.12.2018;#5;0
13.12.2018;#3;0
21.12.2018;#3;1808853,02
05.12.2018;#3;0
14.12.2018;#20;273
04.12.2018;#20;0
08.04.2020;#1;0
21.12.2018;#13;0
20.12.2018;#12;0
18.12.2018;#12;0
20.12.2018;#8;0
05.12.2018;#8;0
21.12.2018;#36;2030
25.01.2019;#16;3140,08
07.01.2019;#16;25380,4
29.01.2019;#5;3353991,3
18.01.2019;#5;815551,16
12.01.2019;#20;0
07.01.2019;#36;0
31.01.2019;#36;182
11.01.2019;#20;120
29.01.2019;#11;993221
07.01.2019;#6;0
09.01.2019;#6;0
28.01.2019;#6;0
24.01.2019;#6;8575,68
22.01.2019;#6;0
03.01.2019;#6;0
30.01.2019;#6;0
21.01.2019;#4;0
08.01.2019;#4;0
05.02.2019;#5;0
28.01.2019;#5;0
29.01.2019;#3;2502771,84
09.01.2019;#3;0
17.01.2019;#3;0
08.01.2019;#20;0
05.01.2019;#3;0
09.04.2020;#1;0
10.04.2020;#1;1093475,96
10.01.2019;#13;0
11.04.2020;#1;0
09.01.2019;#12;0
30.01.2019;#20;0
11.01.2019;#9;333
30.01.2019;#8;0
29.01.2019;#8;168292,96
15.01.2019;#9;0
04.02.2019;#8;0
14.01.2019;#36;0
29.01.2019;#6;227456,39
22.09.2021;#13;0
29.09.2021;#8;0
25.09.2021;#8;0
30.09.2021;#36;0
23.04.2020;#16;45408,28
27.04.2020;#16;18707,78
09.04.2020;#16;0
05.05.2020;#11;0
30.04.2020;#3;1768962,48
06.04.2020;#6;0
05.05.2020;#4;0
20.04.2020;#4;0
29.04.2020;#5;0
10.04.2020;#5;332731,37
16.04.2020;#5;0
12.04.2020;#1;0
27.04.2020;#3;0
08.04.2020;#3;0
14.04.2020;#3;0
04.05.2020;#3;0
23.04.2020;#20;0
13.04.2020;#1;0
14.04.2020;#1;0
15.04.2020;#1;0
16.04.2020;#1;0
17.04.2020;#1;304782,15
18.04.2020;#1;0
09.04.2020;#13;0
17.04.2020;#13;19215,8
23.04.2020;#13;330
30.04.2020;#9;-375
08.04.2020;#6;0
25.08.2020;#16;0
23.09.2019;#16;138470,92
05.09.2019;#6;0
04.09.2019;#4;0
06.09.2019;#4;0
20.09.2019;#5;1904429,32
03.09.2019;#4;-796,4
06.09.2019;#5;0
06.09.2019;#3;0
03.09.2019;#5;-136550,38
12.09.2019;#3;0
30.09.2019;#3;2344542,05
28.09.2019;#3;0
15.09.2019;#3;0
27.09.2019;#20;0
17.09.2019;#20;0
20.04.2020;#1;0
21.04.2020;#1;0
04.09.2019;#13;0
01.09.2019;#12;0
30.09.2019;#9;1077
08.10.2019;#9;555
18.09.2019;#13;0
02.09.2019;#9;0
14.09.2019;#9;0
16.09.2019;#8;0
04.09.2019;#8;0
05.09.2019;#8;0
17.09.2019;#36;0
25.09.2019;#36;0
03.10.2019;#36;0
10.10.2019;#16;0
18.10.2019;#16;0
08.10.2019;#16;0
20.02.2019;#3;0
08.02.2019;#3;1151866,56
06.02.2019;#3;0
01.03.2019;#3;-488,34
19.02.2019;#5;0
22.04.2020;#1;0
23.04.2020;#1;620736,59
24.04.2020;#1;0
25.04.2020;#1;0
27.04.2020;#1;0
21.02.2019;#20;54,02
28.04.2020;#1;640762,12
29.04.2020;#1;0
21.02.2019;#14;12961,8
15.02.2019;#20;307,64
18.02.2019;#9;0
11.02.2019;#13;0
08.02.2019;#8;37092,79
06.02.2019;#5;0
13.02.2019;#5;0
25.02.2019;#5;0
25.02.2019;#36;0
13.11.2018;#5;0
07.11.2018;#5;0
02.11.2018;#5;0
30.04.2020;#1;407542,55
01.05.2020;#1;0
23.11.2018;#14;14175
16.11.2018;#13;-158,2
13.11.2018;#9;0
01.11.2018;#12;0
07.11.2018;#20;0
20.11.2018;#12;0
19.11.2018;#13;0
27.11.2018;#8;0
26.11.2018;#8;0
21.11.2018;#8;0
22.04.2020;#6;0
02.05.2020;#1;0
04.05.2020;#1;28060622,49
08.11.2018;#20;0
05.05.2020;#1;16026,21
06.05.2020;#1;0
09.12.2020;#16;0
16.12.2020;#16;0
22.12.2020;#11;0
21.12.2020;#16;0
20.12.2020;#5;0
11.12.2020;#6;23586,97
05.12.2020;#6;0
29.12.2020;#6;0
09.12.2020;#3;0
14.12.2020;#9;0
22.12.2020;#20;0
28.12.2020;#20;973
09.09.2020;#16;0
28.08.2020;#5;0
12.08.2020;#36;0
03.08.2020;#11;0
14.08.2020;#11;653750,07
10.08.2020;#16;7778,93
14.08.2020;#16;145578,79
20.08.2020;#5;0
21.08.2020;#6;33918,47
04.08.2020;#6;0
31.08.2020;#6;9332,5
27.08.2020;#6;681055,9
05.08.2020;#4;0
28.08.2020;#4;0
21.08.2020;#4;56598,34
15.08.2020;#4;0
05.08.2020;#5;0
27.08.2020;#3;2211421,64
26.08.2020;#3;0
24.08.2020;#3;983034,99
11.08.2020;#3;0
11.08.2020;#5;0
07.05.2020;#1;-7,11E-15
08.05.2020;#1;0
25.08.2020;#13;0
23.08.2020;#20;0
27.08.2020;#12;18930
12.08.2020;#12;0
04.08.2020;#14;0
09.05.2020;#1;0
31.08.2020;#13;2840,5
27.08.2020;#13;3922,88
19.08.2020;#8;-105,42
26.08.2020;#8;0
18.08.2020;#36;0
14.08.2020;#36;1260,5
24.07.2019;#16;0
03.09.2019;#16;0
11.09.2019;#16;0
06.02.2019;#16;0
06.02.2019;#36;0
12.02.2019;#11;0
18.02.2019;#11;0
10.02.2019;#3;0
14.11.2018;#16;244227,6
